country,province,county,Subcounty,longitude,latitude,dist_to_busia_km,dist_to_malaba_km,dist_to_lwakhakha_km,dist_to_suam_km,dist_to_laikipia_airbase_km,County,Total,area_sqkm,adm2_ref_name,center_lat,center_lon,geometry,dist_to_quarantine_km,dist_to_border_km,hospital_count,County_Name,road_count,District Hospital,Health Centre,National Referral Hospital,Provincial General Hospital,raw_healthcare_capacity
Kenya,Coast,Mombasa,Mvita,39.66311371776794,-4.053659225098107,795.4102427474432,793.9624186717955,797.3181121152245,802.6179410244713,542.7335649076439,Mombasa,154171.0,14.71895865,Mvita,-4.05270054,39.66104458,POINT (1241032.019486925 -451007.4267066138),579.255033437835,794.1895585500251,0.0,Mombasa,711.0,0.0,2.0,0.0,1.0,162.0
Kenya,Eastern,Kitui,Kitui West,37.90094785536114,-1.232590562074689,461.43282076509473,453.5605524302072,452.0409409291285,445.6087240567532,173.09591517965066,Kitui,70871.0,630.34320095,Kitui West,-1.24036096,37.90169822,POINT (1045979.6138887546 -137603.85831304465),210.4087182175603,454.6450704210557,0.0,Kitui,302.0,0.0,0.0,0.0,0.0,31.0
Kenya,Western,Bungoma,Bumula,34.45707732801645,0.5634168194048458,39.56805538222245,21.79856254966971,27.33348263030492,79.12324637638307,291.0359842710072,Bungoma,215892.0,345.33320322,Bumula,0.56788403,34.4496374,POINT (661317.8024127198 62788.49836663973),263.49657202757083,21.14033855435153,0.0,Bungoma,75.0,0.0,3.0,0.0,0.0,17.0
Kenya,Nyanza,Kisumu,Nyakach,34.92454456719359,-0.3284447039053141,126.17635064531883,129.30404851518648,139.0388333599358,173.51330713914956,237.3312025228168,Kisumu,150320.0,402.5355251,Nyakach,-0.31892162,34.90343142,POINT (711840.231563988 -35270.01679947225),222.1374825522648,126.4168785299119,0.0,Kisumu,313.0,1.0,5.0,0.0,0.0,50.0
Kenya,Nyanza,Nyamira,Borabu,35.02203525152226,-0.7150435208157244,165.64062234610049,171.67374439418518,182.6635017759361,217.5801625496628,238.5006775059653,Nyamira,73167.0,293.28179986,Borabu,-0.69214467,35.04309531,POINT (727377.3804938742 -76551.80737555085),224.45516202626249,169.64898881424452,0.0,Nyamira,114.0,0.0,9.0,0.0,0.0,63.0
Kenya,Eastern,Makueni,Makueni,37.71076667196178,-1.928866593794347,480.3956271699358,476.7147274992352,478.66709543079895,481.993930957274,233.30511917985703,Makueni,130375.0,1979.75582989,Makueni,-1.95477062,37.6656393,POINT (1019445.6581746065 -216784.364023774),267.91982171102774,474.3654139528099,0.0,Makueni,173.0,1.0,6.0,0.0,0.0,74.0
Kenya,Coast,Kilifi,Ganze,39.52647248775703,-3.461177421749522,743.2750453533807,740.4038096732867,742.6512743130721,744.9607022939094,479.6696357133516,Kilifi,143906.0,2934.56287795,Ganze,-3.43475548,39.46525937,POINT (1219665.918520439 -382088.7637156527),510.30638402079137,733.8598251898751,0.0,Kilifi,248.0,0.0,2.0,0.0,0.0,30.0
Kenya,Central,Nyeri,Kieni West,36.77591021467927,-0.28597951163378,307.5096732904988,296.38379611938774,292.5408079897565,282.34487125927126,46.81620989005712,Nyeri,88525.0,,,,,,,,,,,0.0,3.0,0.0,0.0,43.0
Kenya,Eastern,Meru,Tigania West,37.70781065027688,0.2133495265909158,400.5179403026688,384.5834634485999,375.8916939361271,349.34946026707155,78.03249469300953,Meru,139961.0,391.49200242,Tigania West,0.17129208,37.74363395,POINT (1028453.4785465265 18998.4364177287),106.25965880211048,390.430786846315,0.0,Meru,111.0,1.0,4.0,0.0,0.0,50.0
Kenya,North Eastern,Wajir,Wajir South,40.36021044590865,0.9851579638417488,696.8026255477206,677.6880995111817,665.4650836337692,626.3233517075349,385.0896008106182,Wajir,116814.0,21580.6221263,Wajir South,0.96433624,40.23985783,POINT (1307667.074163518 107450.53748265433),391.6127235654975,667.4159589841291,0.0,Wajir,233.0,0.0,5.0,0.0,0.0,31.0
Kenya,Western,Busia,Nambale,34.313014433311295,0.4832741739639264,22.13048652133241,17.511238686673806,35.5226692251122,94.20581847817044,305.24532225509705,Busia,111636.0,232.33592381,Nambale,0.50463793,34.35705247,POINT (651014.3585743934 55793.421608389915),273.07072596423353,16.910713308437664,0.0,Busia,485.0,0.0,2.0,0.0,0.0,15.0
Kenya,Nairobi,Nairobi,Roysambu,36.88466290308144,-1.2056214876728568,359.75445060843964,355.15464267512084,356.7006208684328,360.6469607478451,140.91157392303276,,,48.10435805,Roysambu,-1.20801234,36.87854203,POINT (931821.1931100516 -133830.3490380631),167.28772449460448,354.6749243219831,0.0,Nairobi,6010.0,0.0,9.0,0.0,0.0,108.0
Kenya,Nairobi,Nairobi,Kibra,36.78790288299162,-1.3059767461212133,356.6286601083892,353.1296419520399,355.5901086029777,362.1793932218617,153.48067588565783,Nairobi,185777.0,12.33031869,Kibra,-1.30420917,36.77970908,POINT (920785.8096891767 -144470.80234972085),177.71911986121657,352.0625518563001,0.0,Nairobi,6010.0,1.0,4.0,1.0,0.0,109.0
Kenya,Rift Valley,Baringo,Koibatek,35.713319500674814,0.0162628002054266,184.66894143804944,174.1496415072619,171.96219786286088,172.72840596930115,145.8455279987858,Baringo,129535.0,,,,,,,,,,,1.0,5.0,0.0,0.0,61.0
Kenya,Rift Valley,Bomet,Chepalungu,35.25386735308468,-0.8982841126579852,197.6639623404913,202.37640439538924,212.0990391732744,242.6003825610493,223.53217334498848,Bomet,164837.0,536.54642253,Chepalungu,-0.89520258,35.24233177,POINT (749549.2430797697 -99023.18594776842),218.241454732734,200.409827820414,0.0,Bomet,92.0,0.0,3.0,0.0,0.0,41.0
Kenya,Coast,Kilifi,Rabai,39.604401178715065,-3.90847177007306,780.2243493446979,778.5039306886443,781.6522480714984,786.4116158313121,525.6428570298499,Kilifi,120813.0,233.9353371,Rabai,-3.88552252,39.62677311,POINT (1237351.9143759394 -432372.88886062265),561.703069623589,779.2813291114571,0.0,Kilifi,248.0,0.0,1.0,0.0,0.0,19.0
Kenya,Nairobi,Nairobi,Dagoretti South,36.71644049646568,-1.2857317416637335,348.7719860237698,345.480300656069,348.14066335559147,355.44911864014955,152.84497951482953,,,,,,,,,,,,,0.0,6.0,0.0,0.0,37.0
Kenya,Rift Valley,Turkana,Turkana Central,35.91377632535013,3.083590426919693,353.08008311917376,327.4602621498046,306.3176675153973,245.35781003230244,358.7875661138367,Turkana,185305.0,6615.80675614,Turkana Central,3.13173735,35.85090782,POINT (816894.9419502176 346585.52099429106),330.87842086412115,327.89992128910427,0.0,Turkana,174.0,1.0,3.0,0.0,0.0,58.0
Kenya,Western,Vihiga,Emuhaya,34.6152590721542,0.0854824380405634,69.94247854049517,71.97245308832332,83.31164918426758,126.81178704038958,267.9070650644882,Vihiga,97141.0,89.18223968,Emuhaya,0.07965083,34.61336062,POINT (679550.3599504463 8807.324927325735),244.822615729352,71.85648459301106,0.0,Vihiga,112.0,0.0,6.0,0.0,0.0,64.0
Kenya,Eastern,Kitui,Mwingi West,37.96832543687783,-0.9785249638959406,457.6201948858884,448.1947620747037,445.3367678037573,435.0815512732532,155.5463383954611,,,1180.62622373,Mwingi West,-0.95405507,37.97976817,POINT (1054750.4079930591 -105854.02759854626),191.4767658222086,449.1378681858434,0.0,Kitui,302.0,0.0,3.0,0.0,0.0,35.0
Kenya,Rift Valley,Laikipia,Laikipia East,36.90205096785818,-0.0186945216552568,314.59473889779247,301.04631864999385,294.93565789317194,277.8847383874583,15.819113646132056,Laikipia,102815.0,3222.26016449,Laikipia East,0.3502711,36.50514369,POINT (890272.6304033576 38788.53452294034),33.34500679083012,250.8560093052402,0.0,Laikipia,104.0,1.0,1.0,0.0,0.0,46.0
