Subcounty,Blood Bank,Dental Clinic,Dispensary,District Health Office,District Hospital,Eye Centre,Eye Clinic,Funeral Home (Stand-alone),Health Centre,Health Programme,Health Project,Laboratory (Stand-alone),Maternity Home,Medical Centre,Medical Clinic,National Referral Hospital,Not in List,Nursing Home,Other Hospital,Provincial General Hospital,Radiology Unit,Regional Blood Transfusion Centre,Rural Health Training Centre,Sub-District Hospital,Training Institution in Health (Stand-alone),VCT Centre (Stand-Alone),raw_healthcare_capacity
Athi River,0,0,6,0,0,0,0,0,2,0,0,0,2,0,31,0,0,1,1,0,0,0,0,0,0,5,58
Awendo,0,0,12,0,0,0,0,0,2,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,1,27
Balambala,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19
Banisa,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Baringo Central,0,0,39,0,1,0,0,0,7,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,1,76
Baringo North,0,0,43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
Belgut,0,0,50,0,1,0,0,0,4,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,1,80
Bomet Central,0,0,22,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,35
Bomet East,0,0,7,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Bondo,0,0,24,0,1,0,0,0,3,0,0,0,1,0,7,0,0,1,0,0,0,0,0,1,0,0,58
Borabu,0,0,20,0,0,0,0,0,9,0,0,0,0,0,4,0,0,2,0,0,0,0,0,1,0,0,63
Bumula,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Buna,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15
Bungoma Central,0,0,12,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,28
Bungoma East,0,0,17,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,1,0,0,0,0,1,0,0,42
Bungoma North,0,0,14,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,30
Bungoma South,0,0,12,0,2,0,0,0,1,0,0,0,0,0,20,0,0,6,0,0,0,0,0,0,0,2,65
Bungoma West,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16
Bunyala,0,0,7,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Bura,0,0,15,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22
Bureti,0,0,27,0,1,0,0,0,3,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,58
Busia,0,0,9,0,1,0,0,0,2,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,34
Butere,0,0,5,0,1,0,0,0,10,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,55
Butula,0,0,15,0,1,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,35
Buuri,0,1,15,0,0,0,0,0,3,0,0,2,0,0,22,0,0,0,1,0,0,0,0,2,0,0,64
Changamwe,0,0,9,0,1,0,0,0,4,1,0,0,1,0,50,0,0,2,2,0,0,0,0,0,0,1,99
Chepalungu,0,0,26,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,41
Cheptais,0,0,8,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,21
Chesumei,0,0,19,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,3,28
Dadaab,0,0,7,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,1,0,0,46
Dagoretti North,0,1,19,0,0,0,0,0,12,0,0,0,0,1,27,1,0,0,5,0,0,0,0,0,1,5,125
Dagoretti South,0,0,14,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,37
