Subcounty,adm2_pcode,adm1_name,adm1_pcode,area_sqkm,adm2_ref_name,center_lat,center_lon,geometry,dist_to_quarantine_km,dist_to_border_km,hospital_count,County_Name,road_count
Ainabkoi,KE027144,Uasin Gishu,KE027,502.56191783,Ainabkoi,0.31286511,35.45585864,POINT (773355.8072039236 34613.003210317416),149.8020637171242,136.60345405352243,0.0,Uasin Gishu,115
Ainamoi,KE035190,Kericho,KE035,245.64444558,Ainamoi,-0.31245662,35.25994842,POINT (751537.630254687 -34562.911647012515),184.5197858766545,151.68382147625854,0.0,Kericho,98
Aldai,KE029152,Nandi,KE029,467.74427575,Aldai,0.06016957,34.97529218,POINT (719844.2910137884 6654.526252382885),205.037113576096,100.66911792086476,0.0,Nandi,45
Alego Usonga,KE041234,Siaya,KE041,607.54214356,Alego Usonga,0.06082957,34.21613625,POINT (635335.671343308 6725.020250743386),289.033920999425,63.21030135565469,0.0,Siaya,615
Awendo,KE044254,Migori,KE044,262.95945064,Awendo,-0.87300394,34.52916519,POINT (670158.509222778 -96527.84348584591),284.3294285029627,168.66235897102362,0.0,Migori,87
Bahati,KE032174,Nakuru,KE032,298.29775606,Bahati,-0.22500391,36.14485288,POINT (850117.7321172168 -24907.45632045077),93.3498558681851,229.2091644078852,0.0,Nakuru,649
Balambala,KE007028,Garissa,KE007,4840.46340077,Balambala,-0.02273556,39.36513412,POINT (1209751.302973358 -2528.65560803799),288.8222748431671,572.9933559038487,0.0,Garissa,66
Banissa,KE009040,Mandera,KE009,3038.61551871,Banissa,3.98556467,40.41330975,POINT (1325232.9180014986 444258.2661096646),574.9883303823301,779.7846576534779,0.0,Mandera,29
Baringo Central,KE030159,Baringo,KE030,661.6928548,Baringo Central,0.40873262,35.75810853,POINT (807020.0531397823 45229.98959100969),116.7495328226679,167.48766616998688,0.0,Baringo,211
Baringo North,KE030158,Baringo,KE030,1633.77468037,Baringo North,0.76985213,35.8085383,POINT (812617.9902150981 85194.8526155421),122.13819125498976,171.99940937284555,0.0,Baringo,211
Baringo South,KE030160,Baringo,KE030,1826.79167508,Baringo South,0.45845972,36.05190879,POINT (839752.0003391206 50746.039784900546),85.21854175137098,199.32818264636052,0.0,Baringo,211
Belgut,KE035192,Kericho,KE035,382.72892633,Belgut,-0.39899874,35.36976437,POINT (763764.8041861856 -44139.35803021718),177.17374969186213,167.15393376117453,0.0,Kericho,98
Bobasi,KE045264,Kisii,KE045,240.35222583,Bobasi,-0.81964996,34.79862706,POINT (700154.902172454 -90640.96248628141),255.09241398895355,170.7478802625774,0.0,Kisii,172
Bomachoge Borabu,KE045263,Kisii,KE045,114.15126455,Bomachoge Borabu,-0.90575394,34.75145886,POINT (694899.8765460448 -100160.20963542632),264.3717881788155,178.06307324994185,0.0,Kisii,172
Bomachoge Chache,KE045265,Kisii,KE045,101.99774136,Bomachoge Chache,-0.80439879,34.7158786,POINT (690944.3620898933 -88950.44295724147),262.3906414499272,166.18308471295228,0.0,Kisii,172
Bomet Central,KE036197,Bomet,KE036,268.95050205,Bomet Central,-0.73095473,35.3145147,POINT (757597.2376387125 -80858.90655042666),201.0598979544076,190.19235616293787,0.0,Bomet,92
Bomet East,KE036196,Bomet,KE036,305.80982816,Bomet East,-0.84752115,35.41991749,POINT (769327.55695926 -93760.78656687698),199.47210735616017,207.57841935608377,0.0,Bomet,92
Bonchari,KE045261,Kisii,KE045,126.67823211,Bonchari,-0.65930394,34.68920926,POINT (687981.7475621272 -72904.82022040064),258.011556430501,149.99770464413015,0.0,Kisii,172
Bondo,KE041236,Siaya,KE041,1310.51628491,Bondo,-0.14802269,34.13697791,POINT (626525.1155530007 -16364.19869775224),300.7441732279398,87.27888706164707,0.0,Siaya,615
Borabu,KE046273,Nyamira,KE046,293.28179986,Borabu,-0.69214467,35.04309531,POINT (727377.3804938742 -76551.80737555085),224.45516202626249,169.64898881424452,0.0,Nyamira,114
Budalangi,KE040231,Busia,KE040,310.63627366,Budalangi,0.08071915,33.99113287,POINT (610293.7026104162 8923.235485014504),313.8008153545516,68.19575694055072,0.0,Busia,485
Bumula,KE039219,Bungoma,KE039,345.33320322,Bumula,0.56788403,34.4496374,POINT (661317.8024127198 62788.49836663973),263.49657202757083,21.14033855435153,0.0,Bungoma,75
Bura,KE004020,Tana River,KE004,13602.53874286,Bura,-0.6514223,39.30092883,POINT (1202517.2776197444 -72442.29945797625),298.684465956633,578.9043847647104,0.0,Tana River,34
Buret,KE035191,Kericho,KE035,315.70706395,Buret,-0.55863278,35.12454237,POINT (736451.7580873645 -61788.483251351),209.48937523984097,162.25284795219156,0.0,Kericho,98
Butere,KE037207,Kakamega,KE037,209.22743884,Butere,0.22741437,34.55027959,POINT (672527.1482023853 25145.388073200542),250.75480747133997,54.35534992924617,0.0,Kakamega,179
Butula,KE040229,Busia,KE040,242.96638872,Butula,0.34422513,34.29268459,POINT (643853.1373913316 38056.97471991484),279.3400365932959,31.695404560910543,0.0,Busia,485
Buuri,KE012057,Meru,KE012,1314.8569385,Buuri,0.08968428,37.36044218,POINT (985679.671499367 9941.778515797443),66.72504746274645,349.49558941618614,0.0,Meru,111
Cental Imenti,KE012058,Meru,KE012,771.84548256,Cental Imenti,0.04201816,37.51661252,POINT (1003110.6120915138 4658.834635403893),84.91122640775421,367.5795703552286,0.0,Meru,111
Changamwe,KE001001,Mombasa,KE001,22.76489827,Changamwe,-4.01733732,39.5916343,POINT (1233307.9353649972 -447008.92271234107),571.68951411971,785.738237418161,0.0,Mombasa,711
Chepalungu,KE036195,Bomet,KE036,536.54642253,Chepalungu,-0.89520258,35.24233177,POINT (749549.2430797697 -99023.18594776842),218.241454732734,200.409827820414,0.0,Bomet,92
Cherangany,KE026140,Trans Nzoia,KE026,627.54543431,Cherangany,1.04643375,35.17809075,POINT (742385.5581119787 115746.66920876103),198.7080920823296,111.07908431638128,0.0,Trans Nzoia,161
Chesumei,KE029154,Nandi,KE029,486.08132219,Chesumei,0.27723272,35.08449983,POINT (732001.4724154997 30662.974800091677),191.16730854223883,98.7055250212596,0.0,Nandi,45
Dadaab,KE007030,Garissa,KE007,6925.1749762,Dadaab,0.06314251,40.26079878,POINT (1310130.5748954695 7035.946551822424),387.8647438137097,671.7328998268115,0.0,Garissa,66
