country,provpcode,province,ctypcode,county,scpcode,subcounty,dhis2_id
Kenya,KEN_1_1,Coast,KEN_2_1,Mombasa,KEN_3_6,Mvita  Sub County,C1xuoa1NAMm
Kenya,KEN_1_7,Nyanza,KEN_2_42,Kisumu,KEN_3_240,Kisumu Central Sub County,OpLt8IgyHop
Kenya,KEN_1_3,Eastern,KEN_2_15,Kitui,KEN_3_70,Kitui West  Sub County,cmWAJB5kCDW
Kenya,KEN_1_6,Western,KEN_2_39,Bungoma,KEN_3_219,Bumula Sub County,jkQZEow83MX
Kenya,KEN_1_7,Nyanza,KEN_2_42,Kisumu,KEN_3_244,Nyakach Sub County,kBQIjtWUBqj
Kenya,KEN_1_7,Nyanza,KEN_2_46,Nyamira,KEN_3_273,Borabu Sub County,ABuzigW8Lzw
Kenya,KEN_1_3,Eastern,KEN_2_17,Makueni,KEN_3_86,Makueni  Sub County,AIGIQpolMRn
Kenya,KEN_1_1,Coast,KEN_2_3,Kilifi,KEN_3_15,Ganze Sub County,x7qUMtZZvo9
Kenya,KEN_1_4,Central,KEN_2_19,Nyeri,,Kieni West Sub County,odOtfcaMg4p
Kenya,KEN_1_3,Eastern,KEN_2_12,Meru,KEN_3_54,Tigania West Sub County,Q4xAPhWUnYC
Kenya,KEN_1_2,North Eastern,KEN_2_8,Wajir,KEN_3_38,Wajir South Sub County,U7KFQn3Up3o
Kenya,KEN_1_6,Western,KEN_2_40,Busia,KEN_3_227,Nambale Sub County,e1J7R103h8I
Kenya,KEN_1_4,Central,KEN_2_18,Nyandarua,KEN_3_91,Olkalou Sub County,Lm9RMwhIu3G
Kenya,KEN_1_8,Nairobi,KEN_2_47,Nairobi,KEN_3_279,Roysambu  Sub County,j7GpbairCOi
Kenya,KEN_1_8,Nairobi,KEN_2_47,Nairobi,KEN_3_278,Kibra  Sub County,LO5he3DtiFG
Kenya,KEN_1_5,Rift Valley,KEN_2_30,Baringo,KEN_3_162,Koibatek Sub County,Yl9UDBnDvvW
Kenya,KEN_1_6,Western,KEN_2_37,Kakamega,KEN_3_210,Ikolomani Sub County,BE6HMtlHyl1
Kenya,KEN_1_7,Nyanza,KEN_2_43,Homa Bay,KEN_3_249,Homa Bay Town Sub County,Ur2xRBDtazT
Kenya,KEN_1_7,Nyanza,KEN_2_45,Kisii,KEN_3_261,Bonchari  Sub County,zCCIu1Vi3Wh
Kenya,KEN_1_5,Rift Valley,KEN_2_36,Bomet,KEN_3_195,Chepalungu Sub County,PUhMyfDD2xp
Kenya,KEN_1_1,Coast,KEN_2_3,Kilifi,KEN_3_14,Rabai Sub County,hJf4rt7cvI6
Kenya,KEN_1_8,Nairobi,KEN_2_47,Nairobi,KEN_3_276,Dagoretti South Sub County,sqNWYDHZZ6W
Kenya,KEN_1_6,Western,KEN_2_37,Kakamega,KEN_3_201,Malava Sub County,ES1CWa4AJmJ
Kenya,KEN_1_5,Rift Valley,KEN_2_23,Turkana,KEN_3_125,Turkana Central Sub County,zd8rhYqGowE
Kenya,KEN_1_6,Western,KEN_2_38,Vihiga,KEN_3_215,Emuhaya Sub County,Lpy789vqRC6
Kenya,KEN_1_3,Eastern,KEN_2_15,Kitui,KEN_3_68,Mwingi West Sub County,svwbDnzhgik
Kenya,KEN_1_5,Rift Valley,KEN_2_31,Laikipia,KEN_3_164,Laikipia East Sub County,pF6qPMIlHte
Kenya,KEN_1_1,Coast,KEN_2_1,Mombasa,KEN_3_3,Kisauni  Sub County,C1hO6wNOgrH
Kenya,KEN_1_8,Nairobi,KEN_2_47,Nairobi,KEN_3_275,Dagoretti North Sub County,CcTr4bcVGAG
Kenya,KEN_1_5,Rift Valley,KEN_2_32,Nakuru,KEN_3_170,Kuresoi South  Sub County,QwGkDS0DNls
Kenya,KEN_1_3,Eastern,KEN_2_10,Marsabit,KEN_3_46,NORTH HORR,j6fqt5TYqPZ
Kenya,KEN_1_3,Eastern,KEN_2_12,Meru,KEN_3_53,Igembe North Sub County,G9DoZvSdGLx
Kenya,KEN_1_6,Western,KEN_2_37,Kakamega,KEN_3_203,Navakholo Sub County,G6PJ5kFVAuO
Kenya,KEN_1_4,Central,KEN_2_22,Kiambu,KEN_3_113,Juja Sub County,aiqi2bz0IMI
Kenya,KEN_1_6,Western,KEN_2_39,Bungoma,KEN_3_222,Webuye West Sub County,aqYhbqKclsI
Kenya,KEN_1_3,Eastern,KEN_2_15,Kitui,KEN_3_72,Kitui Central  Sub County,MWqQbxWqACn
Kenya,KEN_1_6,Western,KEN_2_40,Busia,KEN_3_226,Teso South Sub County,EhchjCHkhJ9
Kenya,KEN_1_4,Central,KEN_2_22,Kiambu,KEN_3_120,Kikuyu Sub County,jOVcLeZQSsS
Kenya,KEN_1_4,Central,KEN_2_18,Nyandarua,KEN_3_90,Kipipiri Sub County,KlVgeHmvG6n
Kenya,KEN_1_5,Rift Valley,KEN_2_27,Uasin Gishu,KEN_3_143,Moiben Sub County,q8R0FA1hxnP
Kenya,KEN_1_3,Eastern,KEN_2_13,Tharaka-Nithi,KEN_3_61,Chuka Sub County,JmE1qRVQD4F
Kenya,KEN_1_5,Rift Valley,KEN_2_35,Kericho,KEN_3_192,Belgut Sub County,YnIAWg1T4AY
Kenya,KEN_1_2,North Eastern,KEN_2_8,Wajir,KEN_3_37,Eldas Sub County,x6Z1sBeiyqQ
Kenya,KEN_1_5,Rift Valley,KEN_2_33,Narok,KEN_3_177,Transmara West Sub County,Nb6e34jNGAq
Kenya,KEN_1_3,Eastern,KEN_2_12,Meru,KEN_3_51,Igembe South Sub County,wtuGWT7KjVm
Kenya,KEN_1_6,Western,KEN_2_39,Bungoma,,Cheptais Sub County,NZphHeczehh
Kenya,KEN_1_4,Central,KEN_2_18,Nyandarua,KEN_3_92,Oljoroorok Sub County,fVSw60UAC3W
Kenya,KEN_1_5,Rift Valley,KEN_2_29,Nandi,KEN_3_155,Emgwen Sub County,Njv37QXxNy2
Kenya,KEN_1_7,Nyanza,KEN_2_46,Nyamira,KEN_3_270,Masaba North Sub County,Qn5Fff2lIDz
Kenya,KEN_1_3,Eastern,KEN_2_16,Machakos,KEN_3_76,Yatta Sub County,CeukNtGhW7J
Kenya,KEN_1_4,Central,KEN_2_22,Kiambu,KEN_3_122,Lari Sub County,nCziQtZ49jj
Kenya,KEN_1_3,Eastern,KEN_2_12,Meru,KEN_3_52,Igembe Central Sub County,TPfcUHno8oP
Kenya,KEN_1_4,Central,KEN_2_21,Muranga,KEN_3_105,Mathioya Sub County,u7Gkh63FYe4
Kenya,KEN_1_4,Central,KEN_2_21,Muranga,KEN_3_109,Kandara Sub County,gwYTo0wITYX
Kenya,KEN_1_5,Rift Valley,KEN_2_35,Kericho,KEN_3_188,Kipkelion East Sub County,gU0Cz7Qlfss
Kenya,KEN_1_3,Eastern,KEN_2_16,Machakos,KEN_3_79,Kathiani Sub County,iCey76HYgLP
Kenya,KEN_1_5,Rift Valley,KEN_2_36,Bomet,KEN_3_194,Sotik Sub County,KyuSYunELJI
Kenya,KEN_1_8,Nairobi,KEN_2_47,Nairobi,KEN_3_282,Embakasi South Sub County,aDp1odOWYC1
Kenya,KEN_1_2,North Eastern,KEN_2_9,Mandera,KEN_3_40,BANISSA,hCvlJNjyZna
Kenya,KEN_1_3,Eastern,KEN_2_13,Tharaka-Nithi,,Tharaka South Sub County,Yz1V5Cx8CO2
Kenya,KEN_1_6,Western,KEN_2_40,Busia,KEN_3_229,Butula Sub County,RIBiZFJxB1K
Kenya,KEN_1_2,North Eastern,KEN_2_8,Wajir,KEN_3_36,Wajir West Sub County,X98G0eIWdmP
Kenya,KEN_1_4,Central,KEN_2_22,Kiambu,KEN_3_112,Gatundu North Sub County,HEsM6W2ImQR
Kenya,KEN_1_3,Eastern,KEN_2_13,Tharaka-Nithi,,Igambang'ombe Sub County,yXwsnpFBIPW
Kenya,KEN_1_7,Nyanza,KEN_2_46,Nyamira,KEN_3_271,Nyamira Sub County,cxjRPbvhjzr
Kenya,KEN_1_6,Western,KEN_2_39,Bungoma,KEN_3_218,Kabuchai Sub County,k1mze33jOs0
Kenya,KEN_1_3,Eastern,KEN_2_16,Machakos,KEN_3_78,Matungulu Sub County,GnixPSqaV6D
Kenya,KEN_1_4,Central,KEN_2_18,Nyandarua,KEN_3_93,Ndaragwa Sub County,EESGLsSLTqH
Kenya,KEN_1_7,Nyanza,KEN_2_41,Siaya,KEN_3_237,Rarieda Sub County,XcRpb1xsM64
