Road_Name,Road_Type,County_Name
The Crescent,residential,Nairobi
The Crescent,residential,Nairobi
Muthithi Road,residential,Nairobi
Kaskazi Lane,service,Nairobi
Mogotio Road,tertiary,Nairobi
Mpesi Lane,service,Nairobi
Tumaini lane,residential,Nairobi
Mpopong-Enajolie Road,track,Kajiado
Mpopong-Enajolie Road,track,Kajiado
Mpopong-Enajolie Road,track,Kajiado
Wikithuki- Kyamalutu-Usueni road,secondary,Kitui
Usueni-Ucueni Road,secondary,Kitui
Tseikuru _Usueni Road,secondary,Kitui
Kiambu Road,trunk,Nairobi
Usueni Bridge,tertiary,Kitui
Ucueni Bridge,tertiary,Kitui
Wikithuki- Kyamalutu-Usueni road,secondary,Kitui
Private Road,residential,Nairobi
Private Road,residential,Kajiado
Private Road,residential,Nairobi
Garissa Road,trunk,Kiambu
Raila Odinga Way,secondary,Nairobi
Lunga Lunga Road,secondary,Nairobi
Kiguathi Road,unclassified,Nairobi
Wikithuki- Kyamalutu-Usueni road,secondary,Kitui
Gitaru Road,primary,Kiambu
Waiyaki Red Hill Link Road,secondary,Nairobi
Nairobi-Nakuru Road,trunk,Kiambu
Nairobi-Nakuru Road,trunk,Kiambu
Nairobi-Nakuru Road,trunk,Kiambu
Njuri Ncheke Street,residential,Meru
Nicole Drive,residential,Nairobi
Nicole Drive,residential,Kiambu
Gachi-Limuru Road link,secondary,Kiambu
Kahawa Meadows,residential,Kiambu
Kiserian Road,unclassified,Baringo
Kiserian Road,unclassified,Baringo
Nyaguda Dispensary Road,unclassified,Siaya
Manga Close,residential,Nairobi
Kiserian Road,unclassified,Baringo
Kiserian Road,tertiary,Baringo
Kigwa Road,service,Nairobi
dirt road,path,Siaya
Rhino Park Road,residential,Nairobi
7th Drive,service,Kajiado
Kerarapon Drive,unclassified,Kajiado
Kerarapon Rise,unclassified,Kajiado
Bungalows Road,residential,Mombasa
Wajir-Dif Road,secondary,Wajir
Lodwar Lorugum,residential,Turkana
Adadijole-Gurar Road,residential,Wajir
Kia Wanugu Ndongoro Road,residential,Kiambu
Woodvale Grove,residential,Nairobi
Kitisuru Country Homes,residential,Nairobi
Kamiti Road,secondary,Nairobi
Softa Road,residential,Nairobi
Chiromo Lane,tertiary,Nairobi
Wajir-Dif Road,secondary,Wajir
Ring Road Westlands,secondary,Nairobi
Kathumulani-Kaliwa-C93 Road,tertiary,Kitui
.,unclassified,Busia
Sisenye Path 6,unclassified,Busia
D260,primary,Kakamega
Road To Duka Moja,track,Narok
Road To Duka Moja,track,Narok
Road To Duka Moja,track,Narok
Kenol-Kagundo Road,secondary,Machakos
2nd Drive,residential,Nairobi
2nd Drive,residential,Kiambu
Hospital Road,residential,Nairobi
Kenol-Kagundo Road,secondary,Machakos
Eldoret-Malaba Road,trunk,Uasin Gishu
Eldoret-Malaba Road,trunk,Kakamega
Linkoni Foot Bridge,pedestrian,Mombasa
Jenrose Street,unclassified,Machakos
Wangari Way,unclassified,Machakos
administration to academic highway,path,Uasin Gishu
Dongo Kundu Bypass,trunk,Kwale
Dongo Kundu Bypass,trunk,Mombasa
Dongo Kundu Bypass,trunk,Kwale
Dongo Kundu Bypass,trunk,Kwale
Dongo Kundu Bypass,trunk,Kwale
Dongo Kundu Bypass,trunk,Kwale
Dongo Kundu Bypass,trunk,Kwale
Dongo Kundu Bypass,trunk,Kwale
Dongo Kundu Bypass Highway,trunk,Mombasa
Dongo Kundu Bypass Highway,trunk,Mombasa
Dongo Kundu Bypass,trunk_link,Kwale
Dongo Kundu Bypass,trunk,Kwale
Thika Road,trunk_link,Kiambu
Thika Road,trunk,Kiambu
Thika Road,trunk,Kiambu
Thika Road,trunk,Kiambu
Mwihoko Road,trunk_link,Kiambu
Mashimoni Lane,residential,Kiambu
Githurai Roundabout,unclassified,Kiambu
D.O's Road,residential,Nairobi
D.O's Road,residential,Kiambu
Thika Road,trunk_link,Kiambu
Mwihoko Road,tertiary,Kiambu
Thika Road,trunk_link,Kiambu
Thika Road,trunk,Kiambu
Githurai Roundabout,unclassified,Kiambu
Thika Road,trunk,Kiambu
Thika Road,secondary,Nairobi
Thika Road,secondary,Kiambu
